GENERICO,FORMA_FARMACEUTICA,CONTENIDO,DESCRIPCION_ENVASE
AMOXICILINA - ACIDO CLAVULANICO,TABLETA,CADA TABLETA CONTIENE: AMOXICILINA TRIHIDRATADA EQUIVALENTE A 500 MG. DE AMOXILINA CLAVULANATO DE POTASIO EQUIVALENTE A 125 MG. DE ACIDO CLAVULANICO,16 TABLETAS
AMOXICILINA -ACIDO CLAVULANICO,SUSPENSION ORAL,CADA FRASCO CON POLVO CONTIENE: AMOXICILINA TRIHIDRATADA EQUIVALENTE A 1.5 G DE AMOXICILINA. CLAVULANATO DE POTASIO EQUIVALENTE A 375 MG DE ACIDO CLAVULANICO,60
AMOXICILINA -ACIDO CLAVULANICO,TABLETA,CADA TABLETA CONTIENE: AMOXICILINA TRIHIDRATADA EQUIVALENTE A 500 MG DE AMOXILINA. CLAVULANATO DE POTASIO EQUIVALENTE A 125 MG DE ACIDO CLAVULANICO,12 TABLETAS
AMPICILINA,TABLETA O CAPSULA,CADA TABLETA O CAPSULA CONTIENE: AMPICILINA ANHIDRA O AMPICILINA TRIHIDRATADA EQUIVALENTE A 500 MG DE AMPICILINA,20 TABLETAS O CAPSULAS
AMPICILINA,SUSPENSION ORAL,CADA 5 ML CONTIENEN: AMPICILINA TRIHIDRATADA EQUIVALENTE A 250 MG DE AMPICILINA,POLVO PARA 60 ML Y DOSIFICADOR
ATORVASTATINA,TABLETA,CADA TABLETA CONTIENE: ATORVASTATINA CALCICA TRIHIDRATADA EQUIVALENTE A 20 MG DE ATORVASTATINA,30 TABLETAS
ATORVASTATINA/ EZETIMIBA,TABLETA O CAPSULA,CADA CAPSULA O TABLETA CONTIENE: ATORVASTATINA CALCICA TRIHIDRATO 40.0 MG. Y EZETIMIBA 10.0MG,30 TABLETAS
ATROPINA,SOLUCION INYECTABLE,CADA AMPOLLETA CONTIENE: SULFATO DE ATROPINA 1 MG,50 AMPOLLETAS CON 1 ML
BAÑO COLOIDE,POLVO,CADA GRAMO CONTIENE: HARINA DE SOYA 965 MG (CONTENIDO PROTEICO 45%) POLIVIDONA 20 MG,DOS SOBRES INDIVIDUALES DE 90 G
"BECLOMETASONA, DIPROPIONATO DE",SUSPENSION EN AEROSOL,CADA INHALACION CONTIENE: DIPROPIONATO DE BECLOMETASONA 50 MICROGRAMOS,DISPOSITIVO INHALADOR PARA 200 DOSIS
BENCILPENICILINA SODICA CRISTALINA,SOLUCION INYECTABLE,CADA FRASCO AMPULA CON POLVO CONTIENE: BENCILPENICILINA SODICA CRISTALINA EQUIVALENTE A 1000 000 UI DE BENCILPENICILINA,"UN FRASCO AMPULA, CON O SIN 2 ML"
BENZATINA BENCILPENICILINA,SUSPENSION INYECTABLE,CADA FRASCO AMPULA CON POLVO CONTIENE: BENZATINA BENCILPENICILINA EQUIVALENTE A 1 200 000 UI DE BENCILPENICILINA,UN FRASCO AMPULA Y 5 ML DE DILUYENTE
BENZONATATO,PERLA O CAPSULA,CADA PERLA O CAPSULA CONTIENE: BENZONATATO 100 MG,20 PERLAS O CAPSULAS
BEZAFIBRATO,TABLETA,CADA TABLETA CONTIENE: BEZAFIBRATO 200 MG,30 TABLETAS
BIPERIDENO,TABLETA,CADA TABLETA CONTIENE: CLORHIDRATO DE BIPERIDENO 2 MG,50 TABLETAS
BROMAZEPAM,COMPRIMIDO,CADA COMPRIMIDO CONTIENE: BROMAZEPAM 3 MG,30 COMPRIMIDOS
