GENERICO,FORMA_FARMACEUTICA,CONTENIDO,DESCRIPCION_ENVASE
INSULINA HUMANA ACCION RAPIDA REGULAR,SOLUCION INYECTABLE ACCION RAPIDA REGULAR,CADA ML CONTIENE: INSULINA HUMANA (ORIGEN ADN RECOMBINANTE) 100 UI O INSULINA ZINC ISOFANA HUMANA (ORIGEN ADN RECOMBINANTE) 100 UI. ENVASE CON,
INSULINA LISPRO,SOLUCION INYECTABLE,CADA ML CONTIENE: INSULINA LISPRO (ORIGEN ADN RECOMBINANTE) 100 UI,UN FRASCO AMPULA CON 10 ML
"INSULINA LISPRO, LISPRO PROTAMINA",SUSPENSION INYECTABLE,CADA ML CONTIENE: INSULINA LISPRO (ORIGEN ADN RECOMBINANTE) 25 UI INSULINA LISPRO PROTAMINA (ORIGEN ADN RECOMBINANTE) 75 UI,UN FRASCO AMPULA CON 10ML
IPRATROPIO,SUSPENSION EN AEROSOL,CADA G CONTIENE: BROMURO DE IPRATROPIO 0.286 MG (20 MICROGRAMO POR NEBULIZACION),15 ML (21.0 G) COMO AEROSOL
IPRATROPIO,SOLUCION,CADA 100 ML CONTIENEN: BROMURO DE IPRATROPIO MONOHIDRATADO EQUIVALENTE A 25 MG DE BROMURO DE IPRATROPIO,FRASCO AMPULA CON 20 ML
IPRATROPIO -SALBUTAMOL,SOLUCION,CADA AMPOLLETA CONTIENE: BROMURO DE IPRATROPIO MONOHIDRATADO EQUIVALENTE A 0.500 MG DE BROMURO DE IPRATROPIO. SULFATO DE SALBUTAMOL EQUIVALENTE A 2.500 MG DE SALBUTAMOL,10 AMPO
IRBESARTAN-HIDROCLOROTIAZIDA,TABLETA,CADA TABLETA CONTIENE: IRBESARTAN 150 MG HIDROCLOROTIAZIDA 12.5 MG,28 TABLETAS
IRBESARTAN-HIDROCLOROTIAZIDA,TABLETA,CADA TABLETA CONTIENE: IRBESARTAN 300 MG HIDROCLOROTIAZIDA 12.5 MG,28 TABLETAS
ISONIAZIDA -RIFAMPICINA,TABLETA RECUBIERTA,CADA TABLETA RECUBIERTA CONTIENE: ISONIAZIDA 400 MG RIFAMPICINA 300 MG,90 TABLETAS RECUBIERTAS
ISONIAZIDA -RIFAMPICINA-PIRAZINAMIDA -ETAMBUTOL,TABLETA,CADA TABLETA CONTIENE: ISONIAZIDA 75 MG RIFAMPICINA 150 MG PIRAZINAMIDA 400 MG CLORHIDRATO DE ETAMBUTOL 300 MG,240 TABLETAS
ISOSORBIDA,TABLETA SUBLINGUAL,CADA TABLETA CONTIENE: DINITRATO DE ISOSORBIDA 5 MG,20 TABLETAS SUBLINGUALES
ISOSORBIDA,TABLETA,CADA TABLETA CONTIENE: DINITRATO DE ISOSORBIDA 10 MG,20 TABLETAS
ITRACONAZOL,CAPSULA,CADA CAPSULA CONTIENE: ITRACONAZOL 100 MG,15 CAPSULAS
KETOCONAZOL,TABLETA,CADA TABLETA CONTIENE: KETOCONAZOL 200 MG,10 TABLETAS
KETOROLACO,SOLUCION INYECTABLE,CADA FRASCO AMPULA O AMPOLLETA CONTIENE: KETOROLACO-TROMETAMINA 30 MG,3 FRASCOS AMPULA O 3 AMPOLLETAS DE 1 ML
KETOTIFENO,SOLUCION ORAL,CADA 100 ML CONTIENEN: FUMARATO ACIDO DE KETOTIFENO EQUIVALENTE A 20 MG DE KETOTIFENO,120 ML Y DOSIFICADOR
LAMOTRIGINA,TABLETA,CADA TABLETA CONTIENE: LAMOTRIGINA 100 MG,28 TABLETAS
LEVETIRACETAM,TABLETA,CADA TABLETA CONTIENE: LEVETIRACETAM 500 MG,60 TABLETAS
LEVETIRACETAM,TABLETA,CADA TABLETA CONTIENE: LEVETIRACETAM 1 000 MG,30 TABLETAS
LEVODOPA Y CARBIDOPA,TABLETA,CADA TABLETA CONTIENE: LEVODOPA 250 MG CARBIDOPA 25 MG,100 TABLETAS
LEVOMEPROMAZINA,TABLETA,CADA TABLETA CONTIENE: MALEATO DE LEVOMEPROMAZINA EQUIVALENTE A 25 MG DE LEVOMEPROMAZINA,20 TABLETAS
LEVONORGESTREL,POLVO,CADA CONTIENE: LEVONORGESTREL (MICRONIZADO) 52 MG,UN DISPOSITIVO
LEVONORGESTREL Y ETINILESTRADIOL,GRAGEA,"CADA GRAGEA CONTIENE: LEVONORGESTREL 0.15 MG, ETINILESTRADIOL 0.03 MG",21 GRAGEAS
LEVONORGESTREL Y ETINILESTRADIOL,GRAGEA,CADA GRAGEA CONTIENE: LEVONORGESTREL 0.15 MG ETINILESTRADIOL 0.03 MG,28 GRAGEAS. (21 CON HORMONALES Y 7 SIN HORMONALES)
LEVOTIROXINA,TABLETA,CADA TABLETA CONTIENE: LEVOTIROXINA SODICA EQUIVALENTE A 100 MICROGRAMOS DE LEVOTIROXINA SODICA ANHIDRA,100 TABLETAS
LIDOCAINA,SOLUCION INYECTABLE,CADA FRASCO AMPULA CONTIENE: CLORHIDRATO DE LIDOCAINA 1 G,5 FRASCOS AMPULA CON 50 ML
LIDOCAINA,SOLUCION,CADA 100 ML CONTIENE: LIDOCAINA 10.0 G,115 ML CON ATOMIZADOR MANUAL
LIDOCAINA -HIDROCORTISONA,UNGÜENTO,CADA 100 GRAMOS CONTIENE: LIDOCAINA 5 G ACETATO DE HIDROCORTISONA 0.25 G SUBACETATO DE ALUMINIO 3.50 G OXIDO DE ZINC 18 G,20 G Y APLICADOR
LIDOCAINA -HIDROCORTISONA,SUPOSITORIO,CADA SUPOSITORIO CONTIENE: LIDOCAINA 60 MG ACETATO DE HIDROCORTISONA 5 MG OXIDO DE ZINC 400 MG SUBACETATO DE ALUMINIO 50 MG,6 SUPOSITORIOS
"LIDOCAINA, EPINEFRINA",SOLUCION INYECTABLE,CADA CARTUCHO DENTAL CONTIENE: CLORHIDRATO DE LIDOCAINA 36 MG EPINEFRINA (1:100000) 0.018 MG,50 CARTUCHOS DENTALES CON 1.8 ML
LINAGLIPTINA,TABLETA,CADA TABLETA CONTIENE: LINAGLIPTINA 5 MG,30 TABLETAS
LINAGLIPTINA/METFORMINA,TABLETA,CADA TABLETA CONTIENE: LINAGLIPTINA 2.5 MG CLORHIDRATO DE METFORMINA 850 MG,60 TABLETAS
LITIO,TABLETA,CADA TABLETA CONTIENE: CARBONATO DE LITIO 300 MG,50 TABLETAS
LOPERAMIDA COMPRIMIDO,GRAGEA O TABLETA,"CADA COMPRIMIDO, TABLETAS O GRAGEA CONTIENE: CLORHIDRATO DE LOPERAMIDA 2 MG","12 COMPRIMIDOS, TABLETAS O GRAGEAS"
LORATADINA,GRAGEA O TABLETA,CADA TABLETA O GRAGEA CONTIENEN: LORATADINA 10 MG,20 TABLETAS O GRAGEAS
LORATADINA,JARABE,CADA 100 ML CONTIENEN: LORATADINA 100 MG,60 ML Y DOSIFICADOR
LORAZEPAM,TABLETA,CADA TABLETA CONTIENE: LORAZEPAM 1 MG,40 TABLETAS
LOSARTAN,GRAGEA O COMPRIMIDO RECUBIERTO,CADA GRAGEA O COMPRIMIDO RECUBIERTO CONTIENE: LOSARTAN POTASICO 50 MG,30 GRAGEAS O COMPRIMIDOS RECUBIERTOS
MEDROXIPROGESTERONA,TABLETA,CADA TABLETA CONTIENE: ACETATO DE MEDROXIPROGESTERONA 10 MG,10 TABLETAS
MEDROXIPROGESTERONA,SUSPENSION INYECTABLE,CADA FRASCO AMPULA O JERINGA PRELLENADA CONTIENE: ACETATO DE MEDROXIPROGESTERONA 150 MG,UNA FRASCO AMPULA O JERINGA PRELLENADA DE 1 ML
MEDROXIPROGESTERONA Y CIPIONATO DE ESTRADIOL,SUSPENSION INYECTABLE,"CADA AMPOLLETA O JERINGA CONTIENE: ACETATO DE MEDROXIPROGESTERONA 25 MG, CIPIONATO DE ESTRADIOL 5 MG",UNA AMPOLLETA O JERINGA PRELLENADA DE 0.5
METAMIZOL SODICO,SOLUCION INYECTABLE,CADA AMPOLLETA CONTIENE: METAMIZOL SODICO 1 G,3 AMPOLLETAS CON 2 ML
METFORMINA,TABLETA,CADA TABLETA CONTIENE: CLORHIDRATO DE METFORMINA 850 MG,30 TABLETAS
METILDOPA,TABLETA,CADA TABLETA CONTIENE: METILDOPA 250 MG,30 TABLETAS
METILFENIDATO,COMPRIMIDO,CADA COMPRIMIDO CONTIENE: CLORHIDRATO DE METILFENIDATO 10 MG,30 COMPRIMIDOS
METOCLOPRAMIDA,SOLUCION INYECTABLE,CADA AMPOLLETA CONTIENE: CLORHIDRATO DE METOCLOPRAMIDA 10 MG,6 AMPOLLETAS DE 2 ML
METOCLOPRAMIDA,TABLETA,CADA TABLETA CONTIENE: CLORHIDRATO DE METOCLOPRAMIDA 10 MG,20 TABLETAS
METOCLOPRAMIDA,SOLUCION,CADA ML CONTIENE: CLORHIDRATO DE METOCLOPRAMIDA 4 MG ENVASE FRASCO GOTERO CON 20 ML.,
METOPROLOL,TABLETA,CADA TABLETA CONTIENE: TARTRATO DE METOPROLOL 100 MG,20 TABLETAS
METRONIDAZOL,TABLETA,CADA TABLETA CONTIENE: METRONIDAZOL 500 MG,30 TABLETAS
METRONIDAZOL,SUSPENSION ORAL,CADA 5 ML CONTIENEN: BENZOILO DE METRONIDAZOL EQUIVALENTE A 250 MG DE METRONIDAZOL,120 ML Y DOSIFICADOR
METRONIDAZOL,OVULO O TABLETA VAGINAL,CADA OVULO O TABLETA CONTIENE: METRONIDAZOL 500 MG,10 OVULOS O TABLETAS
MICONAZOL,CREMA,CADA GRAMO CONTIENE: NITRATO DE MICONAZOL 20 MG,20 G
NAFAZOLINA,SOLUCION OFTALMICA,CADA ML CONTIENE: CLORHIDRATO DE NAFAZOLINA 1 MG,GOTERO INTEGRAL CON 15 ML
NAPROXENO,TABLETA,CADA TABLETA CONTIENE: NAPROXENO 250 MG,30 TABLETAS
NIFEDIPINO,CAPSULA DE GELATINA BLANDA,CADA CAPSULA CONTIENE: NIFEDIPINO 10 MG,20 CAPSULAS
NIFEDIPINO,COMPRIMIDO DE LIBERACION PROLONGADA,CADA COMPRIMIDO CONTIENE: NIFEDIPINO 30 MG,30 COMPRIMIDOS
NISTATINA,OVULO O TABLETA VAGINAL,CADA OVULO O TABLETA CONTIENE: NISTATINA 100 000 UI,12 OVULOS O TABLETAS
NITROFURAL,OVULO,CADA OVULO CONTIENE: NITROFURAL 6 MG,6 OVULOS
NITROFURANTOINA,CAPSULA,CADA CAPSULA CONTIENE: NITROFURANTOINA 100 MG,40 CAPSULAS
NORELGESTROMINA Y ETINILESTRADIOL,PARCHE,CADA PARCHE CONTIENE: NORELGESTROMINA 6.00 MG ETINILESTRADIOL 0.60 MG,3 PARCHES
NORETISTERONA Y ESTRADIOL,SOLUCION INYECTABLE,CADA AMPOLLETA O JERINGA CONTIENE:ENANTATO DE NORETISTERONA 50 MG VALERATO DE ESTRADIOL 5 MG,UNA AMPOLLETA O JERINGA CON UN ML
OMEPRAZOL O PANTOPRAZOL,SOLUCION INYECTABLE,CADA FRASCO AMPULA CON LIOFILIZADO CONTIENE: OMEPRAZOL SODICO EQUIVALENTE A 40 MG DE OMEPRAZOL. O PANTOPRAZOL SODICO EQUIVALENTE A 40 MG DE PANTOPRAZOL,UN FRASCO AM
OSELTAMIVIR,CAPSULA,CADA CAPSULA CONTIENE: OSELTAMIVIR 75.0 MG,10 CAPSULAS
OXCARBAZEPINA,GRAGEA O TABLETA,CADA GRAGEA O TABLETA CONTIENE OXCARBAZEPINA 600 MG,20 GRAGEAS O TABLETAS
OXCARBAZEPINA,SUSPENSION ORAL,CADA 100 ML CONTIENEN: OXCARBAZEPINA 6 G,100 ML
OXIDO DE ZINC,PASTA,CADA 100 G CONTIENEN: OXIDO DE ZINC 25. 0 G,30 G
PANTOPRAZOL O RABEPRAZOL U OMEPRAZOL. TABLETA O GRAGEA O,CAPSULA,CADA TABLETA O GRAGEA O CAPSULA CONTIENE: PANTOPRAZOL 40 MG O RABEPRAZOL SODICO 20 MG U OMEPRAZOL 20 MG,28 TABLETAS O GRAGEAS O CAPSULAS
PARACETAMOL,TABLETA,CADA TABLETA CONTIENE: PARACETAMOL 500 MG,10 TABLETAS
PARACETAMOL,SUPOSITORIO,CADA SUPOSITORIO CONTIENE: PARACETAMOL 300 MG,3 SUPOSITORIOS
PARACETAMOL,SOLUCION ORAL,CADA ML CONTIENE: PARACETAMOL 100 MG,"15 ML, GOTERO CALIBRADO A 0.5 Y 1 ML, INTEGRADO O ADJUNTO AL ENVASE QUE SIRVE DE TAPA"
PAROXETINA,TABLETA,CADA TABLETA CONTIENE: CLORHIDRATO DE PAROXETINA EQUIVALENTE A 20 MG DE PAROXETINA,10 TABLETAS
PENTOXIFILINA,TABLETA O GRAGEA DE LIBERACION PROLONGADA,CADA TABLETA O GRAGEA CONTIENE: PENTOXIFILINA 400 MG,30 TABLETAS O GRAGEAS
PINAVERIO,TABLETA,CADA TABLETA CONTIENE: BROMURO DE PINAVERIO 100 MG,28 TABLETAS
PIROXICAM,TABLETA O CAPSULA,CADA CAPSULA O TABLETA CONTIENE: PIROXICAM 20 MG,20 CAPSULAS O TABLETAS
POTASIO SALES DE,TABLETA SOLUBLE O EFERVESCENTE,CADA TABLETA CONTIENE: BICARBONATO DE POTASIO 766 MG BITARTRATO DE POTASIO 460 MG ACIDO CITRICO 155 MG,50 TABLETAS SOLUBLES
PRAVASTATINA,TABLETA,CADA TABLETA CONTIENE: PRAVASTATINA SODICA 10 MG,30 TABLETAS
PRAZOSINA CAPSULA O,COMPRIMIDO,CADA CAPSULA O COMPRIMIDO CONTIENE: CLORHIDRATO DE PRAZOSINA EQUIVALENTE A 1 MG DE PRAZOSINA,30 CAPSULAS O COMPRIMIDOS
PREDNISOLONA,SOLUCION OFTALMICA,CADA ML CONTIENE: FOSFATO SODICO DE PREDNISOLONA EQUIVALENTE A 5 MG DE FOSFATO DE PREDNISOLONA,GOTERO INTEGRAL CON 5 ML
PREDNISONA,TABLETA,CADA TABLETA CONTIENE: PREDNISONA 5 MG,20 TABLETAS
PREDNISONA,TABLETA,CADA TABLETA CONTIENE: PREDNISONA 50 MG,20 TABLETAS
PREGABALINA,CAPSULA,CADA CAPSULA CONTIENE: PREGABALINA 75 MG,28 CAPSULAS
PREGABALINA,CAPSULA,CADA CAPSULA CONTIENE: PREGABALINA 150 MG,28 CAPSULAS
PRIMIDONA,TABLETA,CADA TABLETA CONTIENE: PRIMIDONA 250 MG,50 TABLETAS
PROPAFENONA,TABLETA,CADA TABLETA CONTIENE: CLORHIDRATO DE PROPAFENONA 150 MG,20 TABLETAS
PROPRANOLOL,TABLETA,CADA TABLETA CONTIENE: CLORHIDRATO DE PROPRANOLOL 40 MG,30 TABLETAS
RALOXIFENO,TABLETA,CADA TABLETA CONTIENE: CLORHIDRATO DE RALOXIFENO 60 MG,28 TABLETAS
RESINA DE COLESTIRAMINA,POLVO,CADA SOBRE CONTIENE: RESINA DE COLESTIRAMINA 4 G,50 SOBRES
RISPERIDONA,TABLETA,CADA TABLETA CONTIENE: RISPERIDONA 2 MG,40 TABLETAS
SALBUTAMOL,SUSPENSION EN AEROSOL,CADA INHALADOR CONTIENE: SALBUTAMOL 20 MG O SULFATO DE SALBUTAMOL EQUIVALENTE A 20 MG DE SALBUTAMOL,INHALADOR CON 200 DOSIS DE 100 MICROGRAMOS
SALBUTAMOL,JARABE,CADA 5 ML CONTIENEN: SULFATO DE SALBUTAMOL EQUIVALENTE A 2 MG DE SALBUTAMOL,60 ML
SALBUTAMOL,SOLUCION PARA NEBULIZADOR,CADA 100 ML CONTIENEN: SULFATO DE SALBUTAMOL 0.5 G,10 ML
SALMETEROL -FLUTICASONA,POLVO,CADA DOSIS CONTIENE XINAFOATO DE SALMETEROL EQUIVALENTE A 50 MICROGRAMOS DE SALMETEROL PROPIONATO DE FLUTICASONA 100 MICROGRAMOS,DISPOSITIVO INHALADOR PARA 60 DOSIS
SENOSIDOS A-B,TABLETA,CADA TABLETA CONTIENE: CONCENTRADOS DE SEN DESECADOS 187 MG (NORMALIZADO A 8.6 MG DE SENOSIDOS A-B),20 TABLETAS
SERTRALINA,TABLETA O CAPSULA,CADA CAPSULA O TABLETA CONTIENE: CLORHIDRATO DE SERTRALINA EQUIVALENTE A 50 MG DE SERTRALINA,14 CAPSULAS O TABLETAS
SITAGLIPTINA,COMPRIMIDO,CADA COMPRIMIDO CONTIENE: FOSFATO DE SITAGLIPTINA MONOHIDRATADA EQUIVALENTE A 100 MG DE SITAGLIPTINA,14 COMPRIMIDOS
SITAGLIPTINA,COMPRIMIDO,CADA COMPRIMIDO CONTIENE: FOSFATO DE SITAGLIPTINA MONOHIDRATADA EQUIVALENTE A 100 MG DE SITAGLIPTINA,28 COMPRIMIDOS
SOLUCION HARTMANN,SOLUCION INYECTABLE,CADA 100 ML CONTIENEN: CLORURO DE SODIO 0.600 G CLORURO DE POTASIO 0.030 G CLORURO DE CALCIO DIHIDRATADO 0.020 G LACTATO DE SODIO 0.310 G,500 ML. MILIEQUIVALENTES POR L
SOLUCION HARTMANN,SOLUCION INYECTABLE,CADA 100 ML CONTIENEN: CLORURO DE SODIO 0.600 G CLORURO DE POTASIO 0.030 G CLORURO DE CALCIO DIHIDRATADO 0.020 G LACTATO DE SODIO 0.310 G,1000 ML. MILIEQUIVALENTES POR
SUCRALFATO,TABLETA,CADA TABLETA CONTIENE: SUCRALFATO 1 G,40 TABLETAS
SULFADIAZINA DE PLATA,CREMA,CADA 100 GRAMOS CONTIENE: SULFADIAZINA DE PLATA MICRONIZADA 1 G,375 G
SULFASALAZINA,TABLETA CON CAPA ENTERICA,CADA TABLETA CON CAPA ENTERICA CONTIENE: SULFASALAZINA 500 MG,60 TABLETAS CON CAPA ENTERICA
SULFATO FERROSO,TABLETA,CADA TABLETA CONTIENE: SULFATO FERROSO DESECADO APROXIMADAMENTE 200 MG EQUIVALENTE A 60.27 MG DE HIERRO ELEMENTAL,30 TABLETAS
SULFATO FERROSO,SOLUCION,CADA ML CONTIENE: SULFATO FERROSO HEPTAHIDRATADO 125 MG EQUIVALENTE A 25 MG DE HIERRO ELEMENTAL. ENVASE GOTERO CON 15 ML.,
SULINDACO,GRAGEA O TABLETA,CADA TABLETA O GRAGEA CONTIENE: SULINDACO 200 MG,20 TABLETAS O GRAGEAS
TAMSULOSINA. CAPSULA O,TABLETA DE LIBERACION PROLONGADA,CADA CAPSULA O TABLETA DE LIBERACION PROLONGADA CONTIENE: CLORHIDRATO DE TAMSULOSINA 0.4 MG,30 CAPSULAS O TABLETAS DE LIBERACION PROLONGADA
TELMISARTAN,TABLETA,CADA TABLETA CONTIENE: TELMISARTAN 40 MG,30 TABLETAS
TELMISARTAN HIDROCLOROTIAZIDA,TABLETA O CAPSULA,CADA TABLETA O CAPSULA CONTIENE: TELMISARTAN 80.0 MG HIDROCLOROTIAZIDA 12.5 MG,14 TABLETAS O CAPSULAS
TENECTEPLASA,SOLUCION INYECTABLE,"CADA FRASCO AMPULA CONTIENE: TENECTEPLASA 50 MG (10,000 U)",FRASCO AMPULA Y JERINGA PRELLENADA CON 10 ML DE AGUA INYECTABLE
TEOFILINA,COMPRIMIDO O TABLETA O CAPSULA DE LIBERACION PROLONGADA,"CADA COMPRIMIDO, TABLETA O CAPSULA CONTIENE TEOFILINA ANHIDRA 100 MG",20 COMPRIMIDOS TABLETAS O CAPSULAS DE LIBERACION PROLONGADA
TETRACICLINA,TABLETA O CAPSULA,CADA TABLETA O CAPSULA CONTIENE: CLORHIDRATO DE TETRACICLINA 250 MG,10 TABLETAS O CAPSULAS
TOPIRAMATO,TABLETA,CADA TABLETA CONTIENE: TOPIRAMATO 100 MG,60 TABLETAS
TRIMETOPRIMA -SULFAMETOXAZOL,TABLETA O COMPRIMIDO,CADA COMPRIMIDO O TABLETA CONTIENE: TRIMETOPRIMA 80 MG SULFAMETOXAZOL 400 MG,20 COMPRIMIDOS O TABLETAS
TRIMETOPRIMA -SULFAMETOXAZOL,SUSPENSION ORAL,CADA 5 ML CONTIENEN: TRIMETOPRIMA 40 MG SULFAMETOXAZOL 200 MG,120 ML Y DOSIFICADOR
TRINITRATO DE GLICERILO,PARCHE,CADA PARCHE LIBERA: TRINITRATO DE GLICERILO 5 MG/DIA,7 PARCHES
VACUNA CONTRA ROTAVIRUS,SUSPENSION ORAL,CADA DOSIS DE 1.5 ML. CONTIENE: ROTAVIRUS VIVO ATENUADO HUMANO CEPA RIX4414 NO MENOS DE 10 A LA SEIS DICC50,50 TUBOS DE PLASTICO CON 1.5 ML
VACUNA RECOMBINANTE CONTRA HEPATITIS B,SUSPENSION INYECTABLE,CADA DOSIS DE 1 ML CONTIENE: AGSHB 20 MICROGRAMOS,UN FRASCO AMPULA CON 10 ML (10 DOSIS)
VALPROATO DE MAGNESIO,SOLUCION,CADA ML CONTIENE: VALPROATO DE MAGNESIO EQUIVALENTE A 186 MG DE ACIDO VALPROICO,40 ML
VALPROATO DE MAGNESIO,TABLETA DE LIBERACION PROLONGADA,CADA TABLETA CONTIENE: VALPROATO DE MAGNESIO 600 MG,30 TABLETAS
VALPROATO SEMISODICO,COMPRIMIDO CON CAPA ENTERICA,CADA COMPRIMIDO CONTIENE: VALPROATO SEMISODICO EQUIVALENTE A 250 MG DE ACIDO VALPROICO,30 COMPRIMIDOS
VENLAFAXINA,CAPSULA O GRAGEA DE LIBERACION PROLONGADA,CADA CAPSULA O GRAGEA DE LIBERACION PROLONGADA CONTIENE: CLORHIDRATO DE VENLAFAXINA EQUIVALENTE A 75 MG DE VENLAFAXINA,10 CAPSULAS O GRAGEAS DE LIBERACION
VERAPAMILO,GRAGEA O TABLETA RECUBIERTA,CADA GRAGEA O TABLETA RECUBIERTA CONTIENE: CLORHIDRATO DE VERAPAMILO 80 MG,20 GRAGEAS O TABLETAS RECUBIERTAS
VITAMINA A,SOLUCION,CADA DOSIS CONTIENE: PALMITATO DE VITAMINA A (RETINOL) 200 000 UI,25 DOSIS
VITAMINAS A.C.D,SOLUCION,CADA ML CONTIENE: PALMITATO DE RETINOL 7000 A 9000 UI; ACIDO ASCORBICO 80 A 125 MG; COLECALCIFEROL 1400 A 1800 UI;,15 ML
WARFARINA,TABLETA,CADA TABLETA CONTIENE: WARFARINA SODICA 5 MG,25 TABLETAS
ZINC Y FENILEFRINA,SOLUCION OFTALMICA,CADA ML CONTIENE: SULFATO DE ZINC HEPTAHIDRATADO 2.5 MG CLORHIDRATO DE FENILEFRINA 1.2 MG,GOTERO INTEGRAL CON 15 ML
