ID,Titulo_Curso,Audiencia,Duracion,URL_Curso
45,Diagnóstico y tratamiento de la esclerosis múltiple,Médicos,12 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/diagnostico-y-tratamiento-de-la-esclerosis-multiple/
46,Nutrición en pacientes con enfermedades endocrino-metabólicas,Médicos,12 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/nutricion-en-pacientes-con-enfermedades-endocrino-metabolicas/
47,Nutrición en pacientes con padecimientos digestivos,Médicos,12 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/nutricion-en-pacientes-con-padecimientos-digestivos/
48,Código infarto,Médicos,12 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/codigo-infarto/
49,Prescripción razonada de la incapacidad temporal para el trabajo (ITT) dirigido al personal médico operativo,Médicos,12 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/prescripcion-razonada-de-la-incapacidad-temporal-para-el-trabajo-itt-dirigido-al-personal-medico-operativo/
50,Introducción a los cuidados paliativos en el paciente adulto,Médicos,12 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/introduccion-a-los-cuidados-paliativos-en-el-paciente-adulto/
51,Nutrición en las diferentes etapas de la vida,Médicos,13 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/nutricion-en-las-diferentes-etapas-de-la-vida/
52,Diagnóstico y tratamiento de los principales trastornos del neurodesarrollo en el primer nivel de atención,Médicos,13 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/diagnostico-y-tratamiento-de-los-principales-trastornos-del-neurodesarrollo-en-el-primer-nivel-de-atencion/
53,Control prenatal con enfoque de riesgo,Médicos,15 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/control-prenatal-con-enfoque-de-riesgo/
54,Enfermedades que afectan los sentidos,Médicos,15 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/enfermedades-que-afectan-los-sentidos/
55,Diagnóstico y tratamiento de los trastornos del sueño en el primer nivel de atención,Médicos,16 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/diagnostico-y-tratamiento-de-los-trastornos-del-sueno-en-el-primer-nivel-de-atencion/
56,Vigilancia epidemiológica de enfermedades no transmisibles,Médicos,16 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/vigilancia-epidemiologica-de-enfermedades-no-transmisibles/
57,Atención obstétrica amigable,Médicos,16 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/atencion-obstetrica-amigable/
58,Nutrición en pacientes con enfermedades crónicas no transmisibles,Médicos,18 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/nutricion-en-pacientes-con-enfermedades-cronicas-no-transmisibles-2/
59,Nutrición en situaciones especiales,Médicos,19 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/nutricion-en-situaciones-especiales-2/
60,Vigilancia y seguimiento de las principales complicaciones al nacimiento en el primer nivel de atención,Médicos,20 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/vigilancia-y-seguimiento-de-las-principales-complicaciones-al-nacimiento-en-el-primer-nivel-de-atencion/
61,PAI Enfermedad pulmonar obstructiva crónica para el personal médico,Médicos,20 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/protocolo-de-atencion-integral-enfermedad-pulmonar-obstructiva-cronica-para-el-personal-medico/
62,Diagnóstico y tratamiento de los trastornos mentales en el primer nivel de atención,Médicos,20 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/diagnostico-y-tratamiento-de-los-trastornos-mentales-en-el-primer-nivel-de-atencion/
63,"Prevención, diagnóstico y tratamiento del dengue",Médicos,20 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/prevencion-diagnostico-y-tratamiento-del-dengue/
64,Codificación clínica básica: Morbilidad,Médicos,20 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/codificacion-clinica-basica-morbilidad/
65,"Capacitación en higiene de manos: ""Manos limpias salvan vidas"" Perfil médicos",Médicos,20 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/capacitacion-en-higiene-de-manos-manos-limpias-salvan-vidas-perfil-medicos/
66,Triage – Profesional médico,Médicos,20 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/triage-profesional-medico/
67,Bases para el tratamiento nutricional,Médicos,22 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/bases-para-el-tratamiento-nutricional-2/
68,Economía de la salud: Temas selectos,Médicos,23 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/economia-de-la-salud-temas-selectos/
69,"Prevención, diagnóstico y tratamiento de la hipertensión arterial en el primer nivel de atención",Médicos,24  horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/prevencion-diagnostico-y-tratamiento-de-la-hipertension-arterial-en-el-primer-nivel-de-atencion/
70,Manejo integral en cuidados paliativos,Médicos,24 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/manejo-integral-en-cuidados-paliativos/
71,Módulo 10. Normatividad en el primer nivel de atención,Médicos,25 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/modulo-10-normatividad-en-el-primer-nivel-de-atencion/
72,"Prevención, diagnóstico y tratamiento de las anomalías congénitas en el primer nivel de atención",Médicos,25 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/prevencion-diagnostico-y-tratamiento-de-las-anomalias-congenitas-en-el-primer-nivel-de-atencion/
73,Educación en diabetes para el equipo multidisciplinario de salud,Médicos,25 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/educacion-en-diabetes-para-el-equipo-multidisciplinario-de-salud/
74,Introducción a la investigación cualitativa en salud,Médicos,25 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/introduccion-a-la-investigacion-cualitativa-en-salud/
75,Medicina basada en evidencia,Médicos,26 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/medicina-basada-en-evidencia/
76,Temas selectos de nutrición,Médicos,28 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/temas-selectos-de-nutricion/
77,Fundamentos y aplicaciones de la medicina genómica,Médicos,28 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/fundamentos-y-aplicaciones-de-la-medicina-genomica/
78,Ginecología oncológica en atención primaria,Médicos,30 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/ginecologia-oncologica-en-atencion-primaria/
79,Responsabilidades legales en el actuar de las y los servidores públicos en los servicios de salud,Médicos,30 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/responsabilidades-legales-en-el-actuar-de-las-y-los-servidores-publicos-en-los-servicios-de-salud/
80,Manejo integral de la hemorragia obstétrica para el personal de Anestesiología,Médicos,32 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/manejo-integral-de-la-hemorragia-obstetrica-para-el-personal-de-anestesiologia/
81,Actualización en Dermatología para primer nivel de atención,Médicos,33 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/actualizacion-en-dermatologia/
82,Medicina Preventiva en adultos mayores,Médicos,34 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/medicina-preventiva-en-adultos-mayores/
83,Módulo 1. Atención integral del niño,Médicos,35 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/modulo-1-atencion-integral-del-nino/
84,Actualización en cáncer de colon y recto para segundo nivel de atención,Médicos,35 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/actualizacion-en-cancer-de-colon-y-recto-para-segundo-nivel-de-atencion/
85,Actualización en cardiología para el primer nivel de atención,Médicos,35 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/actualizacion-en-cardiologia-para-el-primer-nivel-de-atencion/
86,Diagnóstico y tratamiento de los principales traumatismos en el primer nivel de atención,Médicos,37 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/diagnostico-y-tratamiento-de-los-principales-traumatismos-en-el-primer-nivel-de-atencion/
87,Prescripción razonada de medicamentos,Médicos,38 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/prescripcion-razonada-de-medicamentos/
88,Trastorno depresivo mayor,Médicos,4 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/trastorno-depresivo-mayor/
89,Ejercicios respiratorios ambulatorios para pacientes pos-COVID-19,Médicos,4 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/ejercicios-respiratorios-ambulatorios-para-pacientes-pos-covid-19/
90,Enfermedades transmitidas por vector,Médicos,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/enfermedades-transmitidas-por-vector/
91,Actualización en gastroenterología para primer nivel de atención,Médicos,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/actualizacion-en-gastroenterologia-para-primer-nivel-de-atencion/
92,"Prevención, diagnóstico y tratamiento de la enfermedad renal crónica temprana en el primer nivel de atención",Médicos,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/prevencion-diagnostico-y-tratamiento-de-la-enfermedad-renal-cronica-temprana-en-el-primer-nivel-de-atencion/
93,"Prevención, diagnóstico y control del cáncer de próstata y otras alteraciones urológicas",Médicos,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/prevencion-diagnostico-y-control-del-cancer-de-prostata-y-otras-alteraciones-urologicas/
94,Intoxicaciones y envenenamientos más frecuentes en el servicio de Urgencias,Médicos,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/intoxicaciones-y-envenenamientos-mas-frecuentes-en-el-servicio-de-urgencias/
95,Actualización en reumatología para primer nivel de atención,Médicos,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/actualizacion-en-reumatologia-para-primer-nivel-de-atencion/
96,Actualización en neumología para el primer nivel de atención,Médicos,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/actualizacion-en-neumologia-para-el-primer-nivel-de-atencion/
97,Trastornos adictivos más frecuentes en la atención primaria,Médicos,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/trastornos-adictivos-mas-frecuentes-en-la-atencion-primaria/
98,Atención integral a la embarazada,Médicos,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/atencion-integral-a-la-embarazada/
99,Actualización en ginecología para primer nivel de atención,Médicos,42 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/actualizacion-en-ginecologia-para-primer-nivel-de-atencion/
100,Calidad y seguridad en la atención clínica,Médicos,44 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/calidad-y-seguridad-en-la-atencion-clinica/
101,Atención integral del paciente con tuberculosis en el primer nivel de atención médica,Médicos,45 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/prevencion-diagnostico-y-tratamiento-de-la-tuberculosis/
102,Actualización en sarampión para el personal médico,Médicos,5 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/actualizacion-en-sarampion-para-el-personal-medico/
103,"Módulo 7. Prevención, diagnóstico y tratamiento de los trastornos neuropsiquiátricos",Médicos,54.5 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/modulo-7-prevencion-diagnostico-y-tratamiento-de-los-trastornos-neuropsiquiatricos/
104,Actualización en Oftalmología para primer nivel de atención,Médicos,56 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/actualizacion-en-oftalmologia-para-primer-nivel-de-atencion/
105,"Módulo 8. Prevención, diagnóstico y tratamiento de enfermedades osteoarticulares agudas y crónicas",Médicos,57.5 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/modulo-8-prevencion-diagnostico-y-tratamiento-de-enfermedades-osteoarticulares-agudas-y-cronicas/
106,Diagnóstico y tratamiento de las demencias en el primer nivel de atención,Médicos,6 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/diagnostico-y-tratamiento-de-las-demencias-en-el-primer-nivel-de-atencion/
107,Código delirium para personal médico,Médicos,6 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/codigo-delirium-para-personal-medico/
108,Actualización en neurología para primer nivel de atención,Médicos,60 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/actualizacion-en-neurologia-para-primer-nivel-de-atencion/
109,Atención al predonante y calificación biológica de hemocomponentes,Médicos,7 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/atencion-al-predonante-y-calificacion-biologica-de-hemocomponentes/
110,Diagnóstico y tratamiento de la amiloidosis en el primer nivel de atención,Médicos,8  horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/diagnostico-y-tratamiento-de-la-amiloidosis-en-el-primer-nivel-de-atencion/
111,Embarazo en adolescentes,Multidisciplinario,12 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/embarazo-en-adolescentes/
112,Estrategia en salud mental ante la contingencia por COVID-19,Multidisciplinario,16 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/estrategia-en-salud-mental-ante-la-contingencia-por-covid-19/
113,Diplomado para la formación de gestores de calidad en Unidades Médicas,Multidisciplinario,160 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/diplomado-para-la-formacion-de-gestores-de-calidad-en-unidades-medicas/
114,Nutrición en la infancia y la adolescencia,Multidisciplinario,30 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/nutricion-en-la-infancia-y-la-adolescencia/
115,Introducción a la bioética en el ámbito clínico,Multidisciplinario,34 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/introduccion-a-la-bioetica-en-el-ambito-clinico/
116,PAI Infección por el VIH para el equipo de salud,Multidisciplinario,4 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/protocolo-de-atencion-integral-infeccion-por-el-vih-para-el-equipo-de-salud/
117,COVID-19: Temas selectos para el personal de laboratorio,Multidisciplinario,5 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/covid-19-temas-selectos-para-el-personal-de-laboratorio/
118,PAI Lumbalgia inespecífica para el equipo de salud,Multidisciplinario,5 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/protocolo-de-atencion-integral-lumbalgia-inespecifica-para-el-equipo-de-salud/
119,PAI Enfermedad Pulmonar Obstructiva Crónica para el equipo de salud,Multidisciplinario,6 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/protocolo-de-atencion-integral-enfermedad-pulmonar-obstructiva-cronica-para-el-equipo-de-salud/
120,Rehabilitación respiratoria en pacientes pos-COVID-19,Multidisciplinario,9 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/rehabilitacion-respiratoria-en-pacientes-pos-covid-19/
