ID,PRODUCTO,URL,PIC,COSTO_30MAR26
24,ALVERINA/SIMETICONA 20 CAPSULAS METEOSPASMYL,https://www.farmaciasdesimilares.com/alverina_simeticona_20cap_meteospasmyl/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157191-300-300?v=638139778593930000&width=300&height=300&aspect=true,$599
25,AMBROXOL / CLENBUTEROL SOLUCION BROXOL PLUS 120 ML 1 PIEZA,https://www.farmaciasdesimilares.com/ambroxclenbut_sol_120ml_broxol_plus/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/159381-300-300?v=638340053141030000&width=300&height=300&aspect=true,$209
26,AMBROXOL / SALBUTAMOL .15/.04 GR SOLUCION 120 ML 1 PIEZA,https://www.farmaciasdesimilares.com/ambroxol_salbutamol_sol_120ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/164289-300-300?v=639083531688300000&width=300&height=300&aspect=true,$45
27,AMBROXOL 30 MG 20 COMPRIMIDOS,https://www.farmaciasdesimilares.com/ambroxol_30mg_20comp/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/156612-300-300?v=638139773477930000&width=300&height=300&aspect=true,$25
28,AMIKACINA 100MG/2ML SOLUCION INYECTABLE 1 AMPOLLETA,https://www.farmaciasdesimilares.com/amikacina_100mg_2ml_1amp/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162981-300-300?v=638730964305500000&width=300&height=300&aspect=true,$17
29,AMIKACINA 500MG/2ML SOLUCION INYECTABLE 1 AMPOLLETA,https://www.farmaciasdesimilares.com/amikacina_500mg_2ml_1amp/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158112-300-300?v=638152100652670000&width=300&height=300&aspect=true,$44
30,AMIKACINA 500MG/2ML SOLUCION INYECTABLE 2 AMPOLLETAS,https://www.farmaciasdesimilares.com/amikacina_500mg_2ml_2amp/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158265-300-300?v=638152101631470000&width=300&height=300&aspect=true,$60
31,AMIODARONA 200 MG 20 TABLETAS,https://www.farmaciasdesimilares.com/amiodarona_200mg_20tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158938-300-300?v=638224900147430000&width=300&height=300&aspect=true,$174
32,AMLODIPINO 5MG 10 TABLETAS,https://www.farmaciasdesimilares.com/amlodipino_5mg_10tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/161985-300-300?v=638663448629770000&width=300&height=300&aspect=true,$35
33,AMOXICILINA / ACIDO CLAVULANICO 125/31.25 MG SUSPENSION 60 ML 1 PIEZA,https://www.farmaciasdesimilares.com/amoxicilina_ac_cla_125mg_60ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163081-300-300?v=638745625588800000&width=300&height=300&aspect=true,$42
